split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Overall,centroid,0.9443943974622045,0.9832511951764931,0.3258064516129032,0.07683056592941284,0.9307402031930334,0.924247665167762,0.9373246024321796,0.9373246024321796,0.26491935483870965,0.8918600435097898,0.836202623796735,0.67240524759347,1823,657,536,8016
Overall,radius,0.914028976432602,0.9761413664312197,0.6169354838709677,-0.03885132074356079,0.9020290551086565,0.9268443128546755,0.8785079513564079,0.8785079513564079,0.23911290322580644,0.8520667150108775,0.8196975240653007,0.6393950481306014,1887,593,1039,7513
Overall,mahalanobis,0.9449275211985878,0.9836433880089398,0.3282258064516129,3.8034849166870117,0.9311707940937101,0.9258959537572254,0.9365060804490177,0.9365060804490177,0.2584677419354839,0.892675852066715,0.839019169256767,0.6780383385135338,1839,641,543,8009
Overall,knn_distance,0.9575658118078396,0.9873672073886118,0.23830645161290323,0.02426326274871826,0.941264973091835,0.9317218467178371,0.9510056127221702,0.9510056127221702,0.2403225806451613,0.9079949238578681,0.8553415160385045,0.7106830320770089,1884,596,419,8133
Overall,global_mahalanobis,0.936281316952835,0.9819100721057998,0.4080645161290323,17.99839210510254,0.9192567567567568,0.886511728931364,0.9545135640785781,0.9545135640785781,0.4213709677419355,0.8700145032632343,0.7665712981683213,0.5331425963366426,1435,1045,389,8163
Overall,gaussian_mixture,0.9594430372823561,0.9878584098312392,0.24153225806451614,-1443.346923828125,0.9434242044028744,0.9208416833667334,0.9671421889616464,0.9671421889616464,0.28669354838709676,0.9100797679477882,0.8402243202872748,0.6804486405745496,1769,711,281,8271
Overall,one_class_svm,0.9541328759165938,0.9858912306073296,0.2524193548387097,0.4870721697807312,0.939628304282581,0.9277410531114657,0.9518241347053321,0.9518241347053321,0.25564516129032255,0.9051849166062365,0.8480894867075048,0.6961789734150096,1846,634,412,8140
Overall,pca_reconstruction,0.9453901794335979,0.9842021857521535,0.3282258064516129,8.05151830718387e-06,0.929819568558256,0.905844515914384,0.9550982226379794,0.9550982226379794,0.34233870967741936,0.8882342277012327,0.80637975648028,0.6127595129605601,1631,849,384,8168
Overall,isolation_forest,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.03485098176292656,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,0.6053452880292103,0.21069057605842056,604,1876,281,8271
Overall,lof,0.9360724901173842,0.9795476087949104,0.34274193548387094,1.1418097019195557,0.9278129236330773,0.8973994755244755,0.9603601496725912,0.9603601496725912,0.3786290322580645,0.8841551849166063,0.7908655587072633,0.5817311174145268,1541,939,339,8213
Overall,lr_msp,0.9020556406349014,0.9687093573335398,0.4568548387096774,0.029555022716522217,0.9135174016488685,0.8670307740783532,0.9652712815715622,0.9652712815715622,0.510483870967742,0.8583212472806382,0.7273937053019102,0.4547874106038202,1214,1266,297,8255
