split,method,threshold_source,id_percentile,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Overall,qda_energy,id_percentile,50,-85.73332273589727,0.9269041095890411,0.8721385852753145,0.9890084190832554,0.9890084190832554,0.5,0.8790790427846266,0.7445042095416277,0.48900841908325543,1240,1240,94,8458
Overall,qda_energy,id_percentile,60,-79.10839479512292,0.9348808660231014,0.894118902764436,0.9795369504209541,0.9795369504209541,0.4,0.8942168237853517,0.789768475210477,0.5795369504209541,1488,992,175,8377
Overall,qda_energy,id_percentile,70,-66.75793198847809,0.9371748699479792,0.9167878313387764,0.958489242282507,0.958489242282507,0.3,0.9003807106598984,0.8292446211412534,0.658489242282507,1736,744,355,8197
Overall,qda_energy,id_percentile,80,-43.39284810182807,0.9305596595945866,0.9407336599354762,0.9206033676333022,0.9206033676333022,0.2,0.8934916606236403,0.8603016838166511,0.7206033676333021,1984,496,679,7873
Overall,qda_energy,id_percentile,85,-21.91816200466208,0.9197433724730663,0.9533249686323714,0.8884471468662302,0.8884471468662302,0.15,0.8798042059463379,0.8692235734331151,0.7384471468662301,2108,372,954,7598
Overall,qda_energy,id_percentile,90,8.028346700826868,0.9076464746772592,0.9671957671957672,0.8550046772684752,0.8550046772684752,0.1,0.8651196519216824,0.8775023386342375,0.7550046772684752,2232,248,1240,7312
Overall,qda_energy,id_percentile,92.5,38.65708799844616,0.8972741039878849,0.9745065789473685,0.8313844714686623,0.8313844714686623,0.075,0.8524292965917332,0.8781922357343313,0.7563844714686624,2294,186,1442,7110
Overall,qda_energy,id_percentile,95,85.74494814014591,0.8843309972352601,0.9822882445364948,0.8041393826005613,0.8041393826005613,0.05,0.8369289340101523,0.8770696913002807,0.7541393826005612,2356,124,1675,6877
Overall,qda_energy,id_percentile,97.5,238.97189204007373,0.8478566174011904,0.9903140134354007,0.7412301216089804,0.7412301216089804,0.025,0.7937817258883249,0.8581150608044902,0.7162301216089804,2418,62,2213,6339
Overall,qda_energy,id_percentile,99,409.0522365029973,0.810979413599501,0.9957446808510638,0.6840505144995322,0.6840505144995322,0.010080645161290322,0.7528100072516316,0.8369849346691209,0.6739698693382419,2455,25,2702,5850
Near-OOD,qda_energy,id_percentile,50,-85.73332273589727,0.7943896424167695,0.6751375425727011,0.9648071883189816,0.9648071883189816,0.5,0.7410211609396233,0.7324035941594909,0.4648071883189816,1240,1240,94,2577
Near-OOD,qda_energy,id_percentile,60,-79.10839479512292,0.8105211885046274,0.7155963302752294,0.9344814676151254,0.9344814676151254,0.4,0.7734420500873617,0.7672407338075626,0.5344814676151254,1488,992,175,2496
Near-OOD,qda_energy,id_percentile,70,-66.75793198847809,0.8082359099633571,0.7568627450980392,0.8670909771621116,0.8670909771621116,0.3,0.7866433702193749,0.7835454885810558,0.5670909771621115,1736,744,355,2316
Near-OOD,qda_energy,id_percentile,80,-43.39284810182807,0.7722426826904439,0.8006430868167203,0.7457880943466866,0.7457880943466866,0.2,0.7718889536012424,0.7728940471733433,0.5457880943466866,1984,496,679,1992
Near-OOD,qda_energy,id_percentile,85,-21.91816200466208,0.7214285714285714,0.8219243657252274,0.6428304005990266,0.6428304005990266,0.15,0.7425742574257426,0.7464152002995132,0.4928304005990266,2108,372,954,1717
Near-OOD,qda_energy,id_percentile,90,8.028346700826868,0.6591639871382636,0.8526440879382056,0.5372519655559715,0.5372519655559715,0.1,0.7119006018248883,0.7186259827779857,0.43725196555597157,2232,248,1236,1435
Near-OOD,qda_energy,id_percentile,92.5,38.65708799844616,0.60498046875,0.8694736842105263,0.46387120928491204,0.46387120928491204,0.075,0.6858862356823918,0.694435604642456,0.38887120928491203,2294,186,1432,1239
Near-OOD,qda_energy,id_percentile,95,85.74494814014591,0.5335781741867786,0.8913234005258545,0.38075627105952825,0.38075627105952825,0.05,0.6548243059600077,0.6653781355297641,0.33075627105952826,2356,124,1654,1017
Near-OOD,qda_energy,id_percentile,97.5,238.97189204007373,0.33302836230558097,0.8980263157894737,0.2044178210408087,0.2044178210408087,0.025,0.5754222481071637,0.5897089105204043,0.1794178210408087,2418,62,2125,546
Near-OOD,qda_energy,id_percentile,99,409.0522365029973,0.18267610380856084,0.9155405405405406,0.10146012729314863,0.10146012729314863,0.010080645161290322,0.5292176276451175,0.5456897410659292,0.0913794821318583,2455,25,2400,271
Far-OOD,qda_energy,id_percentile,50,-85.73332273589727,0.9046300569143209,0.8258671534896784,1.0,1.0,0.5,0.8516923812941036,0.75,0.5,1240,1240,0,5881
Far-OOD,qda_energy,id_percentile,60,-79.10839479512292,0.922220479849459,0.8556671031572821,1.0,1.0,0.4,0.8813539050352829,0.8,0.6,1488,992,0,5881
Far-OOD,qda_energy,id_percentile,70,-66.75793198847809,0.9405085558931713,0.8876981132075472,1.0,1.0,0.3,0.9110154287764621,0.85,0.7,1736,744,0,5881
Far-OOD,qda_energy,id_percentile,80,-43.39284810182807,0.9595366291401534,0.922220479849459,1.0,1.0,0.2,0.9406769525176414,0.9,0.8,1984,496,0,5881
Far-OOD,qda_energy,id_percentile,85,-21.91816200466208,0.9693423438272623,0.9405085558931713,1.0,1.0,0.15,0.9555077143882311,0.925,0.85,2108,372,0,5881
Far-OOD,qda_energy,id_percentile,90,8.028346700826868,0.9790104947526237,0.9595102040816327,0.9993198435640197,0.9993198435640197,0.1,0.9698600645855759,0.9496599217820099,0.8993198435640197,2232,248,4,5877
Far-OOD,qda_energy,id_percentile,92.5,38.65708799844616,0.9835818395041045,0.9692917285785042,0.9982996089100493,0.9982996089100493,0.075,0.9765578280110034,0.9616498044550247,0.9232996089100494,2294,186,10,5871
Far-OOD,qda_energy,id_percentile,95,85.74494814014591,0.987779182469448,0.9792780748663101,0.9964291787111036,0.9964291787111036,0.05,0.982657576844875,0.9732145893555517,0.9464291787111035,2356,124,21,5860
Far-OOD,qda_energy,id_percentile,97.5,238.97189204007373,0.9872188139059305,0.9894107600341588,0.985036558408434,0.985036558408434,0.025,0.982059562253319,0.9800182792042169,0.9600365584084339,2418,62,88,5793
Far-OOD,qda_energy,id_percentile,99,409.0522365029973,0.9715280801044841,0.9955389007851535,0.9486481890834892,0.9486481890834892,0.010080645161290322,0.9608898457122353,0.9692837719610994,0.9385675439221989,2455,25,302,5579
