model,score,threshold_source,id_percentile,threshold,accuracy,balanced_acc,f1,precision,recall_tpr,fpr,specificity,youden_j,tn,fp,fn,tp
LR,MSP,id_percentile,50,0.03182300925254822,0.8575960841189267,0.7306478016838167,0.9127852106811747,0.8689356304830356,0.9612956033676333,0.5,0.5,0.4612956033676333,1240,1240,331,8221
LR,MSP,id_percentile,60,0.052502233535051346,0.8579586656997824,0.7663821328344247,0.9105644654985446,0.8893968112387112,0.9327642656688494,0.4,0.6,0.5327642656688494,1488,992,575,7977
LR,MSP,id_percentile,70,0.10413382947444916,0.8461747643219725,0.7942820392890552,0.8995560816809707,0.9108234448040273,0.8885640785781104,0.3,0.7,0.5885640785781103,1736,744,953,7599
LR,MSP,id_percentile,80,0.19889722764492035,0.8196156635242929,0.8126520112254443,0.8764435614056874,0.9343394228223457,0.8253040224508886,0.2,0.8,0.6253040224508886,1984,496,1494,7058
LR,MSP,id_percentile,85,0.2659178078174591,0.7970449601160261,0.8158442469597755,0.8565571144852329,0.9472863823154315,0.781688493919551,0.15,0.85,0.631688493919551,2108,372,1867,6685
LR,MSP,id_percentile,90,0.36174243688583374,0.7525380710659898,0.804887745556595,0.816408876933423,0.960747071858183,0.7097754911131899,0.1,0.9,0.60977549111319,2232,248,2482,6070
LR,MSP,id_percentile,92.5,0.418148398399353,0.720540246555475,0.7931244153414406,0.7857986521225596,0.9681561376476631,0.6612488306828812,0.075,0.925,0.5862488306828813,2294,186,2897,5655
LR,MSP,id_percentile,95,0.4874802827835083,0.6724075416968818,0.7709541627689429,0.7369340515358859,0.9760894716544543,0.5919083255378859,0.05,0.95,0.5419083255378858,2356,124,3490,5062
LR,MSP,id_percentile,97.5,0.551270604133606,0.6229151559100797,0.7479069223573434,0.6816651362105908,0.9862710363153233,0.5208138447146866,0.025,0.975,0.4958138447146866,2418,62,4098,4454
LR,MSP,id_percentile,99,0.6176083087921143,0.5668056562726613,0.7170129982799722,0.6138181818181818,0.9934606330107245,0.4441066417212348,0.010080645161290322,0.9899193548387096,0.4340259965599445,2455,25,4754,3798
LR,Entropy,id_percentile,50,0.1963680237531662,0.858502538071066,0.731232460243218,0.913388448094102,0.8690740154154788,0.962464920486436,0.5,0.5,0.46246492048643595,1240,1240,321,8231
LR,Entropy,id_percentile,60,0.2901369035243988,0.8597715736040609,0.7675514499532273,0.9118066244797902,0.889642896873957,0.9351028999064547,0.4,0.6,0.5351028999064547,1488,992,555,7997
LR,Entropy,id_percentile,70,0.4659518897533417,0.8539702683103698,0.7993101028999064,0.9051292621164831,0.9117333016965239,0.8986202057998129,0.3,0.7,0.5986202057998129,1736,744,867,7685
LR,Entropy,id_percentile,80,0.6853219866752625,0.840826686004351,0.826333021515435,0.8925336597307222,0.9363122752953261,0.85266604303087,0.2,0.8,0.65266604303087,1984,496,1260,7292
LR,Entropy,id_percentile,85,0.8427766561508179,0.8221537345902828,0.8320392890551918,0.8764950270678585,0.9492773384237797,0.8140785781103835,0.15,0.85,0.6640785781103835,2108,372,1590,6962
LR,Entropy,id_percentile,90,0.9837080836296082,0.8014865844815083,0.8364593077642657,0.8578844905905256,0.9638378536016331,0.7729186155285314,0.1,0.9,0.6729186155285314,2232,248,1942,6610
LR,Entropy,id_percentile,92.5,1.0951770544052124,0.7837200870195794,0.8338751169317119,0.8418820410868124,0.9715509330070358,0.7427502338634238,0.075,0.925,0.6677502338634238,2294,186,2200,6352
LR,Entropy,id_percentile,95,1.2223610877990723,0.7602429296591733,0.8276075771749298,0.8201536683212076,0.9798537774167344,0.7052151543498597,0.05,0.95,0.6552151543498597,2356,124,2521,6031
LR,Entropy,id_percentile,97.5,1.4823663234710693,0.7178208846990572,0.8091206735266604,0.7794544810485299,0.9888549343879202,0.6432413470533208,0.025,0.975,0.6182413470533208,2418,62,3051,5501
LR,Entropy,id_percentile,99,1.7726644277572632,0.668600435097897,0.7826701545007393,0.7291450585271892,0.9949454104326728,0.575420954162769,0.010080645161290322,0.9899193548387096,0.5653403090014786,2455,25,3631,4921
LR,Margin,id_percentile,50,0.0482640266418457,0.8568709209572154,0.7301800748362957,0.9123021382949181,0.8688247117317254,0.9603601496725912,0.5,0.5,0.4603601496725912,1240,1240,339,8213
LR,Margin,id_percentile,60,0.08238700777292252,0.8544234952864395,0.7641019644527596,0.9081340807687908,0.8889137737961926,0.9282039289055192,0.4,0.6,0.5282039289055191,1488,992,614,7938
LR,Margin,id_percentile,70,0.16730307042598724,0.8402828136330674,0.7904817586529467,0.8953060011883541,0.9101232181686397,0.8809635173058934,0.3,0.7,0.5809635173058934,1736,744,1018,7534
LR,Margin,id_percentile,80,0.3210892677307129,0.8081036983321247,0.8052268475210478,0.867513611615245,0.9332166419819578,0.8104536950420954,0.2,0.8,0.6104536950420953,1984,496,1621,6931
LR,Margin,id_percentile,85,0.4494168758392334,0.7704858593183467,0.7987137511693171,0.8346826847740925,0.9450029568302779,0.7474275023386342,0.15,0.85,0.5974275023386342,2108,372,2160,6392
LR,Margin,id_percentile,90,0.6036264300346375,0.7082124728063814,0.776297942001871,0.776162992837772,0.9574541087665123,0.6525958840037418,0.1,0.9,0.5525958840037418,2232,248,2971,5581
LR,Margin,id_percentile,92.5,0.7017541527748108,0.652102973168963,0.7489826941066418,0.7185804370142249,0.9634290208415257,0.5729653882132835,0.075,0.925,0.49796538821328346,2294,186,3652,4900
LR,Margin,id_percentile,95,0.7972238659858704,0.5779550398839739,0.7100327408793264,0.6332703213610587,0.9700772200772201,0.4700654817586529,0.05,0.95,0.42006548175865294,2356,124,4532,4020
LR,Margin,id_percentile,97.5,0.894241452217102,0.4649202320522117,0.6460009354536951,0.4787637969094923,0.9776415434547422,0.31700187090739007,0.025,0.975,0.29200187090739005,2418,62,5841,2711
LR,Margin,id_percentile,99,0.9647655487060547,0.33058375634517767,0.564650977699991,0.24403726072269424,0.9794576828266228,0.13938260056127222,0.010080645161290322,0.9899193548387096,0.1293019553999819,2455,25,7360,1192
LR,MaxLogit,id_percentile,50,-9.962281227111816,0.8670232052211748,0.7367282507015902,0.9190263288623944,0.8703606900156822,0.9734565014031805,0.5,0.5,0.4734565014031805,1240,1240,227,8325
LR,MaxLogit,id_percentile,60,-9.702834129333496,0.8720087019579406,0.775444340505145,0.9201176736818285,0.89127575624726,0.95088868101029,0.4,0.6,0.55088868101029,1488,992,420,8132
LR,MaxLogit,id_percentile,70,-9.36347770690918,0.8693799854967368,0.8092492984097287,0.9159815754183429,0.9134783114315618,0.9184985968194574,0.3,0.7,0.6184985968194574,1736,744,697,7855
LR,MaxLogit,id_percentile,80,-8.992962837219238,0.8653009427121102,0.8421188026192703,0.9105358217941,0.938446264581782,0.8842376052385407,0.2,0.8,0.6842376052385406,1984,496,990,7562
LR,MaxLogit,id_percentile,85,-8.710662841796875,0.8520667150108775,0.851333021515435,0.8993586581154416,0.9514613778705637,0.85266604303087,0.15,0.85,0.70266604303087,2108,372,1260,7292
LR,MaxLogit,id_percentile,90,-8.395925521850586,0.8365663524292966,0.8590855940130964,0.8858644046337912,0.9657694962042788,0.8181711880261927,0.1,0.9,0.7181711880261927,2232,248,1555,6997
LR,MaxLogit,id_percentile,92.5,-8.136898040771484,0.8209753444525019,0.8579045837231057,0.872588865234501,0.9732335587854367,0.7908091674462114,0.075,0.925,0.7158091674462115,2294,186,1789,6763
LR,MaxLogit,id_percentile,95,-7.74517822265625,0.7963197969543148,0.8508769878391019,0.8512413108242304,0.9810773691439035,0.7517539756782039,0.05,0.95,0.7017539756782039,2356,124,2123,6429
LR,MaxLogit,id_percentile,97.5,-7.200943946838379,0.7619651921682379,0.8375935453695043,0.8201616216956581,0.9897520661157024,0.7001870907390084,0.025,0.975,0.6751870907390084,2418,62,2564,5988
LR,MaxLogit,id_percentile,99,-6.448375225067139,0.700507614213198,0.8032501357916654,0.7614440433212997,0.9952812382030956,0.6165809167446211,0.010080645161290322,0.9899193548387096,0.6065002715833308,2455,25,3279,5273
LR,Energy,id_percentile,50,-10.018123626708984,0.8663886874546773,0.7363189897100093,0.9186085035891772,0.8702657459719607,0.9726379794200187,0.5,0.5,0.47263797942001873,1240,1240,234,8318
LR,Energy,id_percentile,60,-9.810433387756348,0.8751812907904278,0.7774906454630496,0.9222517079780927,0.8916912326673218,0.9549812909260992,0.4,0.6,0.5549812909260992,1488,992,385,8167
LR,Energy,id_percentile,70,-9.579099655151367,0.8740935460478607,0.8122895229186156,0.919258268906586,0.913998381689978,0.924579045837231,0.3,0.7,0.6245790458372311,1736,744,645,7907
LR,Energy,id_percentile,80,-9.243395805358887,0.8628535170413343,0.8405402245088869,0.908761985165531,0.9382393226248288,0.8810804490177736,0.2,0.8,0.6810804490177735,1984,496,1017,7535
