experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_source,model_key,score_seconds
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,validation,Overall,2209,496,1713,0.9434860083234469,0.9829823002804317,0.3346774193548387,0.05807536840438843,0.9304174950298211,0.9059734513274337,0.9562171628721541,0.9562171628721541,0.34274193548387094,0.8890900860117701,0.8067376136941415,326,170,75,1638,0.0011575836688280106,loaded,centroid,
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,validation,Near-OOD,1029,496,533,0.8362131574169338,0.815623430566703,0.5766129032258065,0.05807536840438843,0.788975021533161,0.7292993630573248,0.8592870544090057,0.8592870544090057,0.34274193548387094,0.7619047619047619,0.7582725594625673,326,170,75,458,0.0011575836688280106,loaded,centroid,
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9919406096227447,0.9961420913709329,0.04435483870967742,0.05807536840438843,0.932806324110672,0.8740740740740741,1.0,1.0,0.34274193548387094,0.8985680190930787,0.8286290322580645,326,170,0,1180,0.0011575836688280106,loaded,centroid,
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Overall,8823,1984,6839,0.9445905008749629,0.9833137616712153,0.3240927419354839,0.05807536840438843,0.9289726270885176,0.9040963188486023,0.9552566164643954,0.9552566164643954,0.3492943548387097,0.8867732063923836,0.802981130812843,1291,693,306,6533,0.0011575836688280106,loaded,centroid,0.004020791966468096
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.837538002806361,0.8200723861522676,0.5877016129032258,0.05807536840438843,0.7857602401887197,0.7255445544554455,0.8568755846585594,0.8568755846585594,0.3492943548387097,0.75764192139738,0.7537906149099249,1291,693,306,1832,0.0011575836688280106,loaded,centroid,0.004020791966468096
experiment1_overall_comparison,Class-wise boundary,Centroid distance,nearest_centroid_distance,"distance=cosine, threshold_percentile=95",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9932776399667882,0.9965747150625083,0.034274193548387094,0.05807536840438843,0.9313521545319465,0.871523915461624,1.0,1.0,0.3492943548387097,0.8963350785340314,0.8253528225806452,1291,693,0,4701,0.0011575836688280106,loaded,centroid,0.004020791966468096
experiment1_overall_comparison,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,validation,Overall,2209,496,1713,0.9158380882436021,0.9764040370287651,0.6310483870967742,-0.03915564715862274,0.9078986587183309,0.9275274056029232,0.8890834792761237,0.8890834792761237,0.2399193548387097,0.8601177003168855,0.824582062218707,377,119,190,1523,0.0012188749387860298,loaded,radius,
experiment1_overall_comparison,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,validation,Near-OOD,1029,496,533,0.7452603946014645,0.7603901127464552,0.780241935483871,-0.03915564715862274,0.6946946946946947,0.7446351931330472,0.651031894934334,0.651031894934334,0.2399193548387097,0.7035957240038873,0.7055562700478122,377,119,186,347,0.0012188749387860298,loaded,radius,
experiment1_overall_comparison,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9928871651175505,0.9967377954447305,0.020161290322580645,-0.03915564715862274,0.9503030303030303,0.9081081081081082,0.9966101694915255,0.9966101694915255,0.2399193548387097,0.9266109785202864,0.8783454073264079,377,119,4,1176,0.0012188749387860298,loaded,radius,
experiment1_overall_comparison,Class-wise boundary,Class-wise radius,distance_minus_radius,"distance=cosine, radius_percentile=90, minimum_radius=1e-6",validation_best_f1,eval,Overall,8823,1984,6839,0.9135499554264206,0.9760619131636692,0.6134072580645161,-0.03915564715862274,0.9002403846153846,0.9256913332303415,0.8761514841351075,0.8761514841351075,0.24243951612903225,0.8494843023914769,0.8168559840030376,1503,481,847,5992,0.0012188749387860298,loaded,radius,0.0030314591713249683
