model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
LR,Energy,C=0.01,Overall,0.6056451612903225,0.5271674313716618,0.7766264588174054,0.9309892224457811,0.7975806451612903,-4.253214359283447,0.877270622137601,0.7833838801580737,0.9967259120673526,0.9967259120673526,0.9504032258064516,0.7838107324147934,0.5231613431304505,0.04632268626090097,123,2357,28,8524
LR,Energy,C=0.01,Near-OOD,0.6056451612903225,0.5271674313716618,0.4155136260431638,0.4439581513292217,0.8987903225806452,-4.254312515258789,0.6892155587355275,0.52811004784689,0.9917633845001872,0.9917633845001872,0.9544354838709678,0.5362065618326538,0.5186639503146098,0.037327900629219424,113,2367,22,2649
LR,Energy,C=0.01,Far-OOD,0.6056451612903225,0.5271674313716618,0.9406346846871555,0.9716928640291388,0.2963709677419355,-4.179085731506348,0.920195714526742,0.9131089904570567,0.9273933004591056,0.9273933004591056,0.20927419354838708,0.8868556392775984,0.8590595534553593,0.7181191069107186,1961,519,427,5454
LR,Energy,C=0.1,Overall,0.8431451612903226,0.8303969618746027,0.8785484531066114,0.9634720222524938,0.7056451612903226,-5.087710857391357,0.8841996320147194,0.8697963800904978,0.899087932647334,0.899087932647334,0.46411290322580645,0.8174401740391588,0.7174875147107638,0.43497502942152755,1329,1151,863,7689
LR,Energy,C=0.1,Near-OOD,0.8431451612903226,0.8303969618746027,0.643257554256591,0.6358608100885699,0.8633064516129032,-5.413557529449463,0.7015003948407476,0.5408970976253298,0.9977536503182328,0.9977536503182328,0.9120967741935484,0.5596971461852067,0.5428284380623423,0.08565687612468442,218,2262,6,2665
LR,Energy,C=0.1,Far-OOD,0.8431451612903226,0.8303969618746027,0.9854115700643404,0.9911562222689176,0.03225806451612903,-4.74540901184082,0.9753034032080116,0.973568281938326,0.9770447202856657,0.9770447202856657,0.06290322580645161,0.9651955507714388,0.9570707472396071,0.9141414944792141,2324,156,135,5746
LR,Energy,C=1.0,Overall,0.8939516129032258,0.8934624949418905,0.9248627466881922,0.9785530095131221,0.4975806451612903,-7.046979904174805,0.9161252900232019,0.9089548802946593,0.9234097287184284,0.9234097287184284,0.3189516129032258,0.8689267585206671,0.8022290579076012,0.6044581158152026,1689,791,655,7897
LR,Energy,C=1.0,Near-OOD,0.8939516129032258,0.8934624949418905,0.7739867272134394,0.7682516345299879,0.7334677419354839,-7.128202438354492,0.7433164424253014,0.6969200524246396,0.7963309621864471,0.7963309621864471,0.37298387096774194,0.7148126577363618,0.7116735456093526,0.4233470912187051,1555,925,544,2127
LR,Energy,C=1.0,Far-OOD,0.8939516129032258,0.8934624949418905,0.993386781379072,0.9971700737512642,0.024193548387096774,-6.256624221801758,0.9748555895344886,0.9740281785774911,0.9756844074137051,0.9756844074137051,0.06169354838709677,0.9645975361798828,0.9569954295133042,0.9139908590266084,2327,153,143,5738
LR,Energy,C=10.0,Overall,0.9137096774193548,0.9139216536937969,0.934024252014243,0.9808484417254335,0.37943548387096776,-9.83559799194336,0.922713200112581,0.8896125040703354,0.9583723105706268,0.9583723105706268,0.41008064516129034,0.8755438723712835,0.7741458327046682,0.5482916654093364,1463,1017,356,8196
