model,score,hyperparameters,split,threshold_source,id_percentile,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
LR,Energy,C=10.0,Overall,id_percentile,50,-10.018121719360352,0.9186085035891772,0.8702657459719607,0.9726379794200187,0.9726379794200187,0.5,0.8663886874546773,0.7363189897100093,0.47263797942001873,1240,1240,234,8318
LR,Energy,C=10.0,Overall,id_percentile,60,-9.810433387756348,0.9222517079780927,0.8916912326673218,0.9549812909260992,0.9549812909260992,0.4,0.8751812907904278,0.7774906454630496,0.5549812909260992,1488,992,385,8167
LR,Energy,C=10.0,Overall,id_percentile,70,-9.579099655151367,0.919258268906586,0.913998381689978,0.924579045837231,0.924579045837231,0.3,0.8740935460478607,0.8122895229186156,0.6245790458372311,1736,744,645,7907
LR,Energy,C=10.0,Overall,id_percentile,80,-9.243395805358887,0.908761985165531,0.9382393226248288,0.8810804490177736,0.8810804490177736,0.2,0.8628535170413343,0.8405402245088869,0.6810804490177735,1984,496,1017,7535
LR,Energy,C=10.0,Overall,id_percentile,90,-8.62768268585205,0.8764762208745611,0.9651342612118656,0.8027362020579981,0.8027362020579981,0.1,0.8246011602610588,0.8513681010289991,0.7027362020579981,2232,248,1687,6865
LR,Energy,C=10.0,Overall,id_percentile,95,-8.234790802001953,0.8593215882198264,0.9813813813813814,0.764265668849392,0.764265668849392,0.05,0.8060188542422045,0.857132834424696,0.7142656688493919,2356,124,2016,6536
LR,Energy,C=10.0,Overall,id_percentile,99,-7.214321136474609,0.7758509955041747,0.9954220838674236,0.6356407857811038,0.6356407857811038,0.010080645161290322,0.7152828136330674,0.8127800703099067,0.6255601406198135,2455,25,3116,5436
LR,Energy,C=10.0,Near-OOD,id_percentile,50,-10.018121719360352,0.7699323793049222,0.6637744034707158,0.9165106701609884,0.9165106701609884,0.5,0.7159774801009513,0.7082553350804942,0.4165106701609884,1240,1240,223,2448
LR,Energy,C=10.0,Near-OOD,id_percentile,60,-9.810433387756348,0.7718357082984074,0.6988463873709775,0.8618494945713217,0.8618494945713217,0.4,0.7357794602989711,0.7309247472856608,0.46184949457132163,1488,992,369,2302
LR,Energy,C=10.0,Near-OOD,id_percentile,70,-9.579099655151367,0.752283522104494,0.7345701034605779,0.770872332459753,0.770872332459753,0.3,0.7367501456027956,0.7354361662298765,0.47087233245975296,1736,744,612,2059
LR,Energy,C=10.0,Near-OOD,id_percentile,80,-9.243395805358887,0.7028466106901495,0.7757685352622061,0.6424560089853987,0.6424560089853987,0.2,0.71830712483013,0.7212280044926993,0.44245600898539866,1984,496,955,1716
LR,Energy,C=10.0,Near-OOD,id_percentile,90,-8.62768268585205,0.5592300098716683,0.8204199855177408,0.4241856982403594,0.4241856982403594,0.1,0.6532712094738886,0.6620928491201797,0.32418569824035937,2232,248,1538,1133
LR,Energy,C=10.0,Near-OOD,id_percentile,95,-8.234790802001953,0.48427331887201736,0.8780727630285152,0.3343317109696743,0.3343317109696743,0.05,0.6307513104251602,0.6421658554848371,0.2843317109696743,2356,124,1778,893
LR,Energy,C=10.0,Near-OOD,id_percentile,99,-7.214321136474609,0.14835164835164835,0.8962655601659751,0.08086858854361663,0.08086858854361663,0.010080645161290322,0.518540089303048,0.5353939716911631,0.0707879433823263,2455,25,2455,216
LR,Energy,C=10.0,Far-OOD,id_percentile,50,-10.018121719360352,0.9037025633130629,0.8255977496483825,0.9981295698010543,0.9981295698010543,0.5,0.8503767491926802,0.7490647849005272,0.4981295698010543,1240,1240,11,5870
LR,Energy,C=10.0,Far-OOD,id_percentile,60,-9.810433387756348,0.9208666980687706,0.8553303193816538,0.9972793742560789,0.9972793742560789,0.4,0.8794402583423035,0.7986396871280395,0.5972793742560789,1488,992,16,5865
LR,Energy,C=10.0,Far-OOD,id_percentile,70,-9.579099655151367,0.9377054437585184,0.8871359223300971,0.9943887094031627,0.9943887094031627,0.3,0.9070685324721923,0.8471943547015813,0.6943887094031627,1736,744,33,5848
LR,Energy,C=10.0,Far-OOD,id_percentile,80,-9.243395805358887,0.954247294194818,0.9214568487727632,0.9894575752423057,0.9894575752423057,0.2,0.9332615715823466,0.8947287876211529,0.7894575752423056,1984,496,62,5819
LR,Energy,C=10.0,Far-OOD,id_percentile,90,-8.62768268585205,0.966528960458646,0.9585284280936455,0.9746641727597347,0.9746641727597347,0.1,0.9525176414304509,0.9373320863798673,0.8746641727597347,2232,248,149,5732
LR,Energy,C=10.0,Far-OOD,id_percentile,95,-8.234790802001953,0.9689217032967034,0.978498352696376,0.9595306920591736,0.9595306920591736,0.05,0.9567037435713431,0.9547653460295868,0.9095306920591736,2356,124,238,5643
LR,Energy,C=10.0,Far-OOD,id_percentile,99,-7.214321136474609,0.93834262088801,0.9952335557673975,0.8876041489542594,0.8876041489542594,0.010080645161290322,0.9179523980385121,0.9387617518964846,0.8775235037929691,2455,25,661,5220
