model,score,split,id_accuracy,id_macro_f1,has_raw_decision_scores,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,tn,fp,fn,tp
LR,MSP,Overall,0.9137096774193548,0.9139216536937969,True,0.9020556406349014,0.9687093573335398,0.4568548387096774,0.029555022716522217,0.9135174016488685,0.8670307740783532,0.9652712815715622,0.9652712815715622,0.510483870967742,0.8583212472806382,1214,1266,297,8255
LR,MSP,Near-OOD,0.9137096774193548,0.9139216536937969,True,0.8007659176821535,0.7845565594821376,0.6100806451612903,0.02694714069366455,0.7612542688606023,0.6502254044020154,0.9180082366154998,0.9180082366154998,0.5318548387096774,0.7014172005435838,1161,1319,219,2452
LR,MSP,Far-OOD,0.9137096774193548,0.9139216536937969,True,0.9480588458732604,0.9772671388913716,0.294758064516129,0.14196330308914185,0.9182976596985092,0.8999347045380346,0.9374256078898147,0.9374256078898147,0.24717741935483872,0.8826695371367062,1867,613,368,5513
LR,Entropy,Overall,0.9137096774193548,0.9139216536937969,True,0.9187060563082772,0.9756899340258187,0.45161290322580644,0.2028542459011078,0.9139330590459246,0.8712105151579393,0.9610617399438728,0.9610617399438728,0.4899193548387097,0.859680928208847,1265,1215,333,8219
LR,Entropy,Near-OOD,0.9137096774193548,0.9139216536937969,True,0.8079873733409016,0.799525023091936,0.6116935483870968,0.2028542459011078,0.7602488435157122,0.6623123957754308,0.8921752152751778,0.8921752152751778,0.4899193548387097,0.7082119976703553,1265,1215,288,2383
LR,Entropy,Far-OOD,0.9137096774193548,0.9139216536937969,True,0.9689916543708279,0.9874386241502499,0.23870967741935484,0.9491592645645142,0.933344890352778,0.9519094766619519,0.9154905628294507,0.9154905628294507,0.10967741935483871,0.9080253558186819,2208,272,497,5384
LR,Margin,Overall,0.9137096774193548,0.9139216536937969,True,0.8818313816424757,0.9546122893977609,0.46169354838709675,0.0401310920715332,0.9135367331203877,0.8634186966479284,0.9698316183348924,0.9698316183348924,0.5290322580645161,0.8576867295141407,1168,1312,258,8294
LR,Margin,Near-OOD,0.9137096774193548,0.9139216536937969,True,0.7960567354259007,0.7690068329801674,0.6,0.04043412208557129,0.763161981674173,0.6520700636942676,0.9198801946836391,0.9198801946836391,0.5286290322580646,0.7039409823335274,1169,1311,214,2457
LR,Margin,Far-OOD,0.9137096774193548,0.9139216536937969,True,0.9207880352803727,0.955733342708461,0.317741935483871,0.13991868495941162,0.9123350171093368,0.875801658063507,0.9520489712633906,0.9520489712633906,0.32016129032258067,0.8713072598971415,1686,794,282,5599
LR,MaxLogit,Overall,0.9137096774193548,0.9139216536937969,True,0.933168528772745,0.980428110873298,0.3951612903225806,-9.829644203186035,0.9216595008096488,0.8820134658544405,0.9650374181478016,0.9650374181478016,0.44516129032258067,0.8728245105148659,1376,1104,299,8253
LR,MaxLogit,Near-OOD,0.9137096774193548,0.9139216536937969,True,0.8129633096218645,0.808078540728005,0.6544354838709677,-9.850909233093262,0.7747660535656663,0.6807485114828467,0.8989142643204793,0.8989142643204793,0.45403225806451614,0.7289846631721996,1354,1126,270,2401
LR,MaxLogit,Far-OOD,0.9137096774193548,0.9139216536937969,True,0.9877626692849033,0.994776973725508,0.05806451612903226,-8.144508361816406,0.9653937947494033,0.9678687403862588,0.962931474239075,0.962931474239075,0.07580645161290323,0.9514412151656501,2292,188,218,5663
LR,Energy,Overall,0.9137096774193548,0.9139216536937969,True,0.934024252014243,0.9808484417254335,0.37943548387096776,-9.83559799194336,0.922713200112581,0.8896125040703354,0.9583723105706268,0.9583723105706268,0.41008064516129034,0.8755438723712835,1463,1017,356,8196
LR,Energy,Near-OOD,0.9137096774193548,0.9139216536937969,True,0.8092012022801658,0.8004103190317245,0.6512096774193549,-9.941099166870117,0.7748472177549051,0.6791654919650408,0.901909397229502,0.901909397229502,0.4588709677419355,0.72820811492914,1342,1138,262,2409
LR,Energy,Far-OOD,0.9137096774193548,0.9139216536937969,True,0.9907156932384771,0.9961497739435363,0.034274193548387094,-8.28780460357666,0.969442780107849,0.9760427438814202,0.962931474239075,0.962931474239075,0.05604838709677419,0.9573017581628992,2341,139,218,5663
MLP,MSP,Overall,0.9181451612903225,0.91809492232391,False,0.8677502338634238,0.951910197948216,0.5423387096774194,1.633167266845703e-05,0.9035940325497287,0.8743438320209974,0.9348690364826941,0.9348690364826941,0.46330645161290324,0.8453589557650472,1331,1149,557,7995
MLP,MSP,Near-OOD,0.9181451612903225,0.91809492232391,False,0.7608569039021269,0.7620719856092172,0.7685483870967742,1.0132789611816406e-05,0.7280388978930308,0.6418976850528723,0.8408835642081617,0.8408835642081617,0.505241935483871,0.6742380120364978,1227,1253,425,2246
MLP,MSP,Far-OOD,0.9181451612903225,0.91809492232391,False,0.916298454289648,0.9547713218976346,0.30282258064516127,0.00024014711380004883,0.9150455552819503,0.8844811171056808,0.9477979935385139,0.9477979935385139,0.29354838709677417,0.876210979547901,1752,728,307,5574
MLP,Entropy,Overall,0.9181451612903225,0.91809492232391,False,0.8711622352062525,0.9551672160075082,0.5423387096774194,0.00022577976051252335,0.9036492220650636,0.8753699440973364,0.9338166510757717,0.9338166510757717,0.4584677419354839,0.8456308919506889,1343,1137,566,7986
MLP,Entropy,Near-OOD,0.9181451612903225,0.91809492232391,False,0.760813577130711,0.7624474440643112,0.7592741935483871,0.00013697445683646947,0.7282749675745784,0.6422647983986274,0.8408835642081617,0.8408835642081617,0.5044354838709677,0.6746262861580276,1229,1251,425,2246
MLP,Entropy,Far-OOD,0.9181451612903225,0.91809492232391,False,0.9212797774133212,0.9599787123191091,0.2995967741935484,0.0018029359634965658,0.9153783563873068,0.8776720237166484,0.9564699880972624,0.9564699880972624,0.3161290322580645,0.8756129649563449,1696,784,256,5625
MLP,Margin,Overall,0.9181451612903225,0.91809492232391,False,0.8653832625456411,0.9486372254901683,0.542741935483871,3.2961368560791016e-05,0.9034451495920217,0.876429199648197,0.932179607109448,0.932179607109448,0.4532258064516129,0.845540246555475,1356,1124,580,7972
MLP,Margin,Near-OOD,0.9181451612903225,0.91809492232391,False,0.7615126176012368,0.7605537607851198,0.7556451612903226,1.7583370208740234e-05,0.728130081300813,0.643575740155217,0.8382628229127668,0.8382628229127668,0.5,0.6754028344010872,1240,1240,432,2239
MLP,Margin,Far-OOD,0.9181451612903225,0.91809492232391,False,0.9125586566361876,0.9492427140520572,0.30282258064516127,0.0003591775894165039,0.914636140637776,0.8809261300992283,0.9510287366094201,0.9510287366094201,0.30483870967741933,0.8751345532831001,1724,756,288,5593
MLP,MaxLogit_logprob_proxy,Overall,0.9181451612903225,0.91809492232391,False,0.8677502338634238,0.951910197948216,0.5423387096774194,1.633180545468349e-05,0.9035940325497287,0.8743438320209974,0.9348690364826941,0.9348690364826941,0.46330645161290324,0.8453589557650472,1331,1149,557,7995
MLP,MaxLogit_logprob_proxy,Near-OOD,0.9181451612903225,0.91809492232391,False,0.7608569039021269,0.7620719856092172,0.7685483870967742,1.0132840543519706e-05,0.7280388978930308,0.6418976850528723,0.8408835642081617,0.8408835642081617,0.505241935483871,0.6742380120364978,1227,1253,425,2246
