model,group,confidence_threshold,total,high_conf_count,high_conf_rate,mean_confidence,median_confidence,p90_confidence
LR,ID,0.9,2480,1728,0.6967741935483871,0.8904012441635132,0.9681769609451294,0.9937738180160522
LR,Near-OOD,0.9,2671,655,0.24522650692624484,0.6901803016662598,0.690021812915802,0.9690057039260864
LR,Far-OOD,0.9,5881,277,0.04710083319163408,0.3845360577106476,0.31620046496391296,0.7724330425262451
LR,All-OOD,0.9,8552,932,0.10898035547240412,0.47999635338783264,0.4314570426940918,0.9119817614555359
MLP,ID,0.9,2480,2348,0.9467741935483871,0.9821125864982605,0.9999890327453613,1.0
MLP,Near-OOD,0.9,2671,1983,0.742418569824036,0.9110766649246216,0.9938998222351074,0.9999974966049194
MLP,Far-OOD,0.9,5881,2679,0.4555347729977895,0.793143093585968,0.8663104772567749,0.998612642288208
MLP,All-OOD,0.9,8552,4662,0.5451356407857811,0.8299766778945923,0.9274120330810547,0.9999141693115234
GNB,ID,0.9,2480,2459,0.9915322580645162,0.9973461318454981,1.0,1.0
GNB,Near-OOD,0.9,2671,2587,0.9685511044552602,0.9897025896067738,1.0,1.0
GNB,Far-OOD,0.9,5881,5571,0.9472878762115287,0.9829077175420359,0.9999999998146336,1.0
GNB,All-OOD,0.9,8552,8158,0.9539289055191768,0.9850299232582327,0.9999999999934346,1.0
LDA,ID,0.9,2480,2460,0.9919354838709677,0.9973628224261611,1.0,1.0
LDA,Near-OOD,0.9,2671,2612,0.9779108947959566,0.9928777278250017,1.0,1.0
LDA,Far-OOD,0.9,5881,5588,0.9501785410644448,0.9839169301113637,0.9999999999999098,1.0
LDA,All-OOD,0.9,8552,8200,0.9588400374181478,0.9867156076947509,1.0,1.0
QDA,ID,0.9,2480,2452,0.9887096774193549,0.9964975644288885,1.0,1.0
QDA,Near-OOD,0.9,2671,2606,0.9756645451141894,0.9925242762335756,1.0,1.0
QDA,Far-OOD,0.9,5881,5831,0.9914980445502466,0.9974197703327891,1.0,1.0
QDA,All-OOD,0.9,8552,8437,0.9865528531337698,0.9958907870845431,1.0,1.0
